Unit #,Description,Year,Location,Condition
CAT-001,Caterpillar D6 Bulldozer,2018,Houston TX,Good
KUB-002,Kubota KX040 Mini Excavator,2020,Dallas TX,Excellent
JD-003,John Deere 310SL Backhoe,2017,Austin TX,Fair
VOL-004,Volvo EC220E Excavator,2019,San Antonio TX,Good
CAT-005,Caterpillar 980H Wheel Loader,2015,El Paso TX,Poor
BOB-006,Bobcat S650 Skid Steer,2021,Houston TX,Excellent
KOM-007,Komatsu PC210LC Excavator,2016,Dallas TX,Fair
JD-008,John Deere 772G Motor Grader,2018,Austin TX,Good
CAT-009,Caterpillar 336 Excavator,2020,Houston TX,Excellent
JLG-010,JLG 1055 Telehandler,2019,San Antonio TX,Good